date,value
2010-01-01,32
2010-02-01,18
2010-03-01,16
2010-04-01,19
2010-05-01,12
2010-06-01,14
2010-07-01,30
2010-08-01,34
2010-09-01,23
2010-10-01,19
2010-11-01,13
2010-12-01,28
2011-01-01,28
2011-02-01,24
2011-03-01,23
2011-04-01,23
2011-05-01,31
2011-06-01,29
2011-07-01,27
2011-08-01,24
2011-09-01,27
2011-10-01,36
2011-11-01,24
2011-12-01,37
2012-01-01,41
2012-02-01,25
2012-03-01,27
2012-04-01,32
2012-05-01,38
2012-06-01,23
2012-07-01,24
2012-08-01,25
2012-09-01,32
2012-10-01,35
2012-11-01,32
2012-12-01,41
2013-01-01,47
2013-02-01,37
2013-03-01,27
2013-04-01,50
2013-05-01,18
2013-06-01,40
2013-07-01,33
2013-08-01,48
2013-09-01,43
2013-10-01,36
2013-11-01,26
2013-12-01,28
2014-01-01,66
2014-02-01,33
2014-03-01,36
2014-04-01,46
2014-05-01,53
2014-06-01,47
2014-07-01,31
2014-08-01,47
2014-09-01,54
2014-10-01,44
2014-11-01,27
2014-12-01,51
2015-01-01,51
2015-02-01,33
2015-03-01,34
2015-04-01,37
2015-05-01,44
2015-06-01,49
2015-07-01,55
2015-08-01,39
2015-09-01,48
2015-10-01,47
2015-11-01,44
2015-12-01,44
2016-01-01,58
2016-02-01,33
2016-03-01,38
2016-04-01,30
2016-05-01,36
2016-06-01,64
2016-07-01,37
2016-08-01,58
2016-09-01,42
2016-10-01,40
2016-11-01,51
2016-12-01,55
2017-01-01,55
2017-02-01,47
2017-03-01,48
2017-04-01,47
2017-05-01,67
2017-06-01,59
2017-07-01,53
2017-08-01,54
2017-09-01,69
2017-10-01,69
2017-11-01,54
2017-12-01,56
2018-01-01,102
2018-02-01,61
2018-03-01,60
2018-04-01,52
2018-05-01,63
2018-06-01,70
2018-07-01,66
2018-08-01,79
2018-09-01,59
2018-10-01,64
2018-11-01,87
2018-12-01,55
2019-01-01,142
2019-02-01,103
2019-03-01,87
2019-04-01,90
2019-05-01,105
2019-06-01,69
2019-07-01,105
2019-08-01,77
2019-09-01,56
2019-10-01,92
2019-11-01,90
2019-12-01,95
