date,value
2010-01-01,15
2010-02-01,18
2010-03-01,21
2010-04-01,20
2010-05-01,16
2010-06-01,29
2010-07-01,18
2010-08-01,14
2010-09-01,16
2010-10-01,26
2010-11-01,12
2010-12-01,22
2011-01-01,35
2011-02-01,21
2011-03-01,31
2011-04-01,22
2011-05-01,26
2011-06-01,21
2011-07-01,23
2011-08-01,17
2011-09-01,24
2011-10-01,20
2011-11-01,23
2011-12-01,21
2012-01-01,33
2012-02-01,32
2012-03-01,22
2012-04-01,31
2012-05-01,41
2012-06-01,20
2012-07-01,24
2012-08-01,36
2012-09-01,35
2012-10-01,33
2012-11-01,22
2012-12-01,48
2013-01-01,49
2013-02-01,26
2013-03-01,33
2013-04-01,45
2013-05-01,31
2013-06-01,25
2013-07-01,39
2013-08-01,32
2013-09-01,21
2013-10-01,32
2013-11-01,25
2013-12-01,26
2014-01-01,27
2014-02-01,30
2014-03-01,27
2014-04-01,35
2014-05-01,44
2014-06-01,42
2014-07-01,48
2014-08-01,42
2014-09-01,43
2014-10-01,43
2014-11-01,34
2014-12-01,36
2015-01-01,46
2015-02-01,40
2015-03-01,54
2015-04-01,35
2015-05-01,32
2015-06-01,35
2015-07-01,43
2015-08-01,49
2015-09-01,53
2015-10-01,44
2015-11-01,29
2015-12-01,52
2016-01-01,46
2016-02-01,37
2016-03-01,39
2016-04-01,49
2016-05-01,45
2016-06-01,49
2016-07-01,47
2016-08-01,50
2016-09-01,41
2016-10-01,50
2016-11-01,57
2016-12-01,61
2017-01-01,48
2017-02-01,65
2017-03-01,58
2017-04-01,36
2017-05-01,48
2017-06-01,59
2017-07-01,63
2017-08-01,46
2017-09-01,56
2017-10-01,61
2017-11-01,55
2017-12-01,59
2018-01-01,75
2018-02-01,57
2018-03-01,55
2018-04-01,53
2018-05-01,82
2018-06-01,72
2018-07-01,61
2018-08-01,69
2018-09-01,61
2018-10-01,52
2018-11-01,44
2018-12-01,46
2019-01-01,104
2019-02-01,75
2019-03-01,73
2019-04-01,78
2019-05-01,90
2019-06-01,66
2019-07-01,90
2019-08-01,74
2019-09-01,76
2019-10-01,83
2019-11-01,78
2019-12-01,76
