date,name,zipcode,value_origin,value
2020/1/1,zip_1,77056,225.86,226 
2020/2/1,zip_1,77056,200.97,201 
2020/3/1,zip_1,77056,212.96,213 
2020/4/1,zip_1,77056,210.56,211 
2020/5/1,zip_1,77056,210.73,211 
2020/6/1,zip_1,77056,216.96,217 
2020/7/1,zip_1,77056,205.83,206 
2020/8/1,zip_1,77056,218.9,219 
2020/9/1,zip_1,77056,209.2,209 
2020/10/1,zip_1,77056,225.16,225 
2020/11/1,zip_1,77056,206.97,207 
2020/12/1,zip_1,77056,223.88,224 
2021/1/1,zip_1,77056,268.56,269 
2021/2/1,zip_1,77056,244.14,244 
2021/3/1,zip_1,77056,256.61,257 
2021/4/1,zip_1,77056,254.68,255 
2021/5/1,zip_1,77056,255.31,255 
2021/6/1,zip_1,77056,262,262 
2021/7/1,zip_1,77056,251.33,251 
2021/8/1,zip_1,77056,264.85,265 
2021/9/1,zip_1,77056,255.6,256 
2021/10/1,zip_1,77056,272.01,272 
2021/11/1,zip_1,77056,254.26,254 
2021/12/1,zip_1,77056,271.6,272 
2020/1/1,zip_2,77024,156.84,157 
2020/2/1,zip_2,77024,130.63,131 
2020/3/1,zip_2,77024,136.94,137 
2020/4/1,zip_2,77024,130.92,131 
2020/5/1,zip_2,77024,146.43,146 
2020/6/1,zip_2,77024,145.47,145 
2020/7/1,zip_2,77024,130.43,130 
2020/8/1,zip_2,77024,134.2,134 
2020/9/1,zip_2,77024,131.99,132 
2020/10/1,zip_2,77024,146.25,146 
2020/11/1,zip_2,77024,131.2,131 
2020/12/1,zip_2,77024,141.24,141 
2021/1/1,zip_2,77024,164.95,165 
2021/2/1,zip_2,77024,138.74,139 
2021/3/1,zip_2,77024,145.05,145 
2021/4/1,zip_2,77024,139.03,139 
2021/5/1,zip_2,77024,154.54,155 
2021/6/1,zip_2,77024,153.58,154 
2021/7/1,zip_2,77024,138.54,139 
2021/8/1,zip_2,77024,142.3,142 
2021/9/1,zip_2,77024,140.1,140 
