Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip_Code,Taxpayer_Organizational_Type,Taxpayer_Organizational_Name,Record_Type_Code,Record_Type_Name,SOS_Charter_Date,SOS_Status_Date,Responsibility_Beginning_Date,DateTime
32073711270,SANCHEZ EXPLORATION COMPANY LLC,1000 MAIN ST STE 3000,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,3/11/2020 0:00,3/11/2020 0:00,3/11/2020 0:00,3/25/2020 2:13
32072485017,"3122 MOLLY, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072485496,"NOVI MOTUS, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072930954,"5964-BGL, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072485819,"VNW 01, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072485876,"VSW 01, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072485934,"FAMILY FIRST REAL ESTATE, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32073430921,"CASEY T. WALLACE, LLC",440 LOUISIANA ST STE 1500,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073428339,NEXTDECADE FINANCIAL HOLDINGS 1-2 LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073428198,NEXTDECADE INVESTMENTS 1-2 LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
